avg_transaction,frequency,credit_score,vip_status
55.66,14,737.0,0
41.71,11,663.0,0
63.73,7,761.0,0
38.31,14,772.0,0
43.33,14,613.0,0
92.01,10,648.0,0
49.47,9,727.0,0
43.49,7,703.0,0
52.42,7,719.0,0
94.8,9,673.0,0
40.84,13,768.0,0
57.02,13,763.0,0
36.58,14,724.0,0
48.41,11,782.0,0
50.15,13,746.0,0
70.52,10,673.0,0
95.85,12,740.0,0
47.36,10,667.0,0
48.64,15,768.0,0
122.45,11,717.0,0
39.17,13,710.0,0
33.19,9,683.0,0
37.05,11,787.0,0
77.82,8,712.0,0
63.55,10,696.0,0
116.23,16,701.0,1
34.48,15,749.0,0
84.05,8,740.0,0
51.68,11,743.0,0
66.66,18,744.0,0
45.6,6,838.0,0
78.0,15,698.0,0
58.41,17,692.0,0
39.75,8,675.0,0
64.51,12,754.0,0
45.75,14,782.0,0
37.76,12,714.0,0
33.28,10,674.0,0
19.6,11,675.0,0
69.8,14,756.0,0
79.2,16,761.0,0
41.67,10,750.0,0
47.82,15,683.0,0
44.89,17,733.0,0
53.89,17,726.0,0
39.9,8,732.0,0
42.28,5,768.0,0
71.1,15,732.0,0
51.66,8,757.0,0
101.97,12,724.0,0
50.25,6,736.0,0
39.83,15,755.0,0
62.05,15,640.0,0
56.47,15,702.0,0
57.38,11,694.0,0
67.77,9,685.0,0
35.51,7,705.0,0
57.39,8,802.0,0
37.24,16,672.0,0
38.96,14,773.0,0
29.12,11,627.0,0
74.52,8,702.0,0
52.57,14,729.0,0
35.31,15,752.0,0
34.54,12,759.0,0
94.46,14,764.0,1
42.76,12,701.0,0
34.03,11,695.0,0
49.93,16,767.0,0
27.75,11,709.0,0
69.41,12,650.0,0
31.82,13,658.0,0
70.63,5,669.0,0
52.06,9,747.0,0
81.31,13,728.0,0
57.28,17,758.0,0
60.7,5,697.0,0
62.39,13,729.0,0
64.11,14,754.0,0
50.75,7,703.0,0
47.23,11,745.0,0
91.7,10,684.0,0
31.84,5,700.0,0
44.02,9,699.0,0
37.48,9,654.0,0
58.38,18,747.0,0
36.79,7,694.0,0
52.77,13,721.0,0
48.39,16,746.0,0
32.14,11,745.0,0
52.75,19,757.0,0
31.99,15,715.0,0
23.78,11,697.0,0
48.77,13,716.0,0
42.16,10,627.0,0
44.95,7,640.0,0
46.83,13,647.0,0
17.61,11,665.0,0
33.64,18,742.0,0
91.98,10,670.0,0
30.23,13,699.0,0
69.4,14,791.0,0
34.43,10,700.0,0
54.52,11,761.0,0
30.32,8,669.0,0
55.92,11,709.0,0
41.58,13,668.0,0
37.62,9,701.0,0
40.25,18,766.0,0
37.53,14,625.0,0
35.29,19,744.0,0
56.82,18,733.0,0
124.93,14,687.0,1
65.76,16,640.0,0
61.66,12,724.0,0
41.35,15,691.0,0
27.72,17,733.0,0
30.87,13,721.0,0
88.9,8,808.0,0
34.18,12,707.0,0
28.77,16,664.0,0
45.95,11,730.0,0
35.01,16,732.0,0
42.79,13,795.0,0
53.17,11,766.0,0
37.95,16,740.0,0
48.79,10,800.0,0
26.44,12,655.0,0
51.52,8,685.0,0
35.82,11,669.0,0
41.06,12,699.0,0
47.02,7,644.0,0
50.07,10,755.0,0
40.96,19,708.0,0
43.59,6,639.0,0
51.56,11,664.0,0
47.34,10,737.0,0
55.36,16,766.0,0
52.72,8,830.0,0
54.85,18,850.0,0
65.65,11,743.0,0
47.05,10,666.0,0
37.83,19,603.0,0
54.24,15,735.0,0
41.16,12,675.0,0
57.14,12,697.0,0
61.2,11,686.0,0
64.49,11,712.0,0
54.27,6,779.0,0
80.11,13,729.0,0
49.75,8,711.0,0
50.6,4,663.0,0
38.24,5,628.0,0
47.39,12,693.0,0
36.34,9,717.0,0
75.26,13,817.0,0
143.26,19,727.0,1
49.53,6,774.0,0
44.17,11,693.0,0
30.66,12,655.0,0
31.92,10,667.0,0
77.85,14,680.0,0
55.1,9,837.0,0
33.29,8,675.0,0
35.33,12,766.0,0
29.08,12,670.0,0
35.15,12,771.0,0
62.31,9,741.0,0
138.21,12,711.0,1
41.19,12,718.0,0
22.39,15,684.0,0
69.05,13,745.0,0
33.13,13,695.0,0
66.06,14,653.0,0
32.19,21,650.0,0
39.47,11,729.0,0
57.31,12,807.0,0
63.29,12,729.0,0
42.56,15,713.0,0
42.13,8,736.0,0
54.74,9,792.0,0
32.96,20,732.0,0
50.87,8,697.0,0
36.01,12,781.0,0
44.01,15,744.0,0
74.68,8,804.0,0
53.96,12,730.0,0
48.13,9,653.0,0
34.76,7,645.0,0
86.07,14,811.0,0
80.21,12,815.0,0
53.75,11,710.0,0
62.89,9,699.0,0
73.86,8,800.0,0
31.4,11,659.0,0
23.11,15,671.0,0
60.03,9,755.0,0
54.04,11,698.0,0
70.24,11,720.0,0
33.17,12,711.0,0
37.62,12,739.0,0
67.12,12,797.0,0
46.69,13,725.0,0
31.48,16,755.0,0
36.91,9,607.0,0
26.0,10,717.0,0
27.46,9,674.0,0
67.68,19,653.0,0
86.45,13,672.0,0
28.92,8,702.0,0
49.61,11,770.0,0
36.86,14,647.0,0
92.33,8,722.0,0
35.82,16,693.0,0
37.33,9,702.0,0
92.25,11,775.0,0
45.86,11,750.0,0
72.19,9,794.0,0
28.05,12,712.0,0
38.64,6,682.0,0
26.0,15,708.0,0
35.26,8,733.0,0
65.35,11,730.0,0
37.34,16,660.0,0
42.95,11,725.0,0
38.51,18,733.0,0
63.14,14,850.0,0
67.89,7,823.0,0
60.42,8,673.0,0
19.36,12,704.0,0
23.6,15,640.0,0
44.94,9,688.0,0
48.11,11,737.0,0
64.33,16,786.0,0
45.77,3,680.0,0
37.01,13,684.0,0
21.66,9,602.0,0
41.93,9,711.0,0
63.11,16,662.0,0
32.46,13,691.0,0
38.84,11,672.0,0
49.47,12,715.0,0
69.86,10,623.0,0
30.37,9,639.0,0
84.41,12,837.0,0
63.59,11,649.0,0
37.01,18,660.0,0
58.94,15,821.0,0
61.56,12,850.0,0
33.45,13,656.0,0
61.22,11,700.0,0
53.93,10,739.0,0
65.45,17,815.0,0
24.42,15,666.0,0
32.16,13,707.0,0
112.93,16,763.0,1
47.87,9,744.0,0
33.22,13,699.0,0
79.08,5,713.0,0
40.7,16,644.0,0
56.01,11,707.0,0
42.7,9,705.0,0
44.12,15,733.0,0
39.83,9,689.0,0
34.03,20,746.0,0
54.03,13,776.0,0
53.6,12,729.0,0
97.56,11,739.0,0
48.98,16,723.0,0
23.3,13,720.0,0
39.63,18,680.0,0
138.67,8,737.0,0
63.74,6,715.0,0
53.18,6,835.0,0
71.23,16,807.0,0
39.89,15,741.0,0
24.11,17,678.0,0
32.61,12,659.0,0
58.46,11,786.0,0
28.43,12,734.0,0
36.28,15,746.0,0
32.88,8,624.0,0
48.61,16,771.0,0
57.96,6,745.0,0
22.53,10,659.0,0
57.08,10,694.0,0
34.16,10,735.0,0
87.58,13,723.0,0
25.0,13,704.0,0
32.03,14,714.0,0
52.58,14,706.0,0
89.15,11,728.0,0
64.81,6,801.0,0
36.47,11,579.0,0
45.43,9,707.0,0
35.02,12,730.0,0
42.3,12,736.0,0
28.65,12,700.0,0
16.59,13,623.0,0
57.06,6,738.0,0
46.83,12,815.0,0
40.1,21,636.0,0
38.0,8,768.0,0
49.61,6,702.0,0
39.37,11,717.0,0
70.74,15,662.0,0
50.08,13,702.0,0
85.05,19,792.0,1
41.36,13,752.0,0
62.33,13,815.0,0
43.75,15,785.0,0
44.51,17,744.0,0
57.41,10,816.0,0
40.52,9,744.0,0
38.51,12,766.0,0
27.43,9,704.0,0
23.82,16,724.0,0
27.5,15,682.0,0
67.2,10,774.0,0
18.61,13,655.0,0
36.73,13,763.0,0
90.86,15,710.0,0
47.65,10,784.0,0
58.98,11,761.0,0
74.38,15,820.0,0
65.84,8,760.0,0
15.98,9,634.0,0
42.93,5,716.0,0
18.5,8,656.0,0
116.26,11,691.0,0
40.82,6,803.0,0
38.6,17,755.0,0
27.65,12,682.0,0
20.8,9,664.0,0
78.04,14,722.0,0
109.33,20,653.0,1
34.51,10,683.0,0
33.28,10,737.0,0
33.41,4,784.0,0
48.31,14,753.0,0
23.34,11,594.0,0
40.31,13,737.0,0
51.53,7,724.0,0
57.64,13,743.0,0
66.16,4,809.0,0
25.22,11,607.0,0
27.92,18,687.0,0
64.76,18,752.0,0
34.26,13,633.0,0
77.26,11,801.0,0
65.76,8,740.0,0
36.79,6,767.0,0
24.98,16,689.0,0
43.26,12,765.0,0
42.07,11,779.0,0
63.83,9,733.0,0
55.3,19,733.0,0
72.75,9,735.0,0
47.12,11,673.0,0
49.48,9,712.0,0
72.04,18,712.0,0
58.88,8,741.0,0
56.49,14,775.0,0
73.02,6,662.0,0
48.01,15,713.0,0
54.64,10,801.0,0
29.47,12,679.0,0
53.93,14,675.0,0
76.03,17,731.0,0
53.24,8,766.0,0
76.52,14,721.0,0
36.55,10,793.0,0
53.26,11,767.0,0
53.39,12,766.0,0
41.46,11,750.0,0
136.69,7,848.0,0
44.33,9,709.0,0
24.43,11,610.0,0
60.76,11,808.0,0
21.58,13,695.0,0
37.39,12,726.0,0
78.27,11,792.0,0
24.86,15,632.0,0
25.38,15,651.0,0
63.27,4,632.0,0
70.84,12,676.0,0
60.31,16,744.0,0
44.65,12,749.0,0
45.64,9,735.0,0
24.33,6,642.0,0
14.83,18,593.0,0
33.82,22,723.0,0
34.32,12,694.0,0
37.26,11,745.0,0
34.4,16,759.0,0
52.04,8,728.0,0
57.44,8,762.0,0
91.07,8,733.0,0
41.97,9,749.0,0
46.5,10,681.0,0
51.15,12,710.0,0
44.77,16,731.0,0
68.43,9,765.0,0
59.13,10,698.0,0
57.21,12,749.0,0
40.93,9,705.0,0
40.69,19,714.0,0
37.12,14,766.0,0
19.52,8,610.0,0
27.47,12,649.0,0
20.34,13,638.0,0
35.86,18,592.0,0
67.61,3,683.0,0
41.0,9,761.0,0
49.73,8,704.0,0
35.11,11,731.0,0
51.39,10,780.0,0
48.28,18,793.0,0
57.91,12,716.0,0
48.63,11,794.0,0
68.96,15,725.0,0
36.36,18,674.0,0
32.92,15,687.0,0
19.11,16,639.0,0
44.19,9,671.0,0
62.3,4,700.0,0
58.52,9,764.0,0
124.93,11,815.0,1
68.74,11,644.0,0
45.61,12,742.0,0
33.63,9,663.0,0
59.63,8,746.0,0
34.52,13,713.0,0
57.25,16,619.0,0
61.22,8,771.0,0
46.58,13,687.0,0
55.95,18,691.0,0
81.14,13,661.0,0
44.63,5,684.0,0
48.81,16,744.0,0
81.1,12,710.0,0
69.78,14,738.0,0
45.16,8,740.0,0
58.08,13,793.0,0
47.63,11,701.0,0
41.39,11,639.0,0
39.18,6,779.0,0
26.05,10,702.0,0
44.24,11,781.0,0
37.37,9,741.0,0
36.81,5,713.0,0
62.07,14,739.0,0
60.52,14,827.0,0
67.62,17,834.0,0
32.17,10,724.0,0
41.55,12,729.0,0
67.05,5,779.0,0
51.36,9,673.0,0
39.66,8,738.0,0
49.65,13,719.0,0
111.53,10,737.0,0
39.93,15,674.0,0
24.18,12,633.0,0
27.24,15,606.0,0
39.43,11,659.0,0
40.91,6,695.0,0
44.17,12,704.0,0
45.6,13,827.0,0
43.36,9,781.0,0
36.78,14,667.0,0
47.34,8,739.0,0
35.51,14,698.0,0
41.95,15,704.0,0
49.65,14,730.0,0
70.22,10,754.0,0
42.7,4,701.0,0
63.08,15,779.0,0
29.76,12,657.0,0
57.9,10,720.0,0
73.34,11,850.0,0
66.37,6,732.0,0
72.78,8,799.0,0
58.96,10,725.0,0
50.3,15,752.0,0
50.89,18,717.0,0
68.16,5,711.0,0
31.36,6,677.0,0
41.63,8,744.0,0
43.19,12,673.0,0
60.11,11,757.0,0
44.71,7,780.0,0
48.91,11,740.0,0
43.22,5,704.0,0
27.75,10,745.0,0
41.11,16,703.0,0
52.32,16,771.0,0
29.44,12,619.0,0
76.94,15,702.0,0
15.25,8,611.0,0
23.42,17,638.0,0
33.05,14,795.0,0
47.36,11,769.0,0
35.19,12,680.0,0
27.2,10,637.0,0
46.29,9,557.0,0
59.92,8,690.0,0
67.9,13,850.0,0
45.06,9,744.0,0
63.96,6,689.0,0
50.61,15,746.0,0
22.95,8,634.0,0
24.95,13,704.0,0
41.33,15,725.0,0
61.19,9,715.0,0
118.97,10,763.0,0
50.97,18,739.0,0
41.95,12,757.0,0
26.29,7,682.0,0
64.82,12,769.0,0
40.48,18,810.0,0
49.38,7,667.0,0
56.05,14,671.0,0
66.06,14,793.0,0
42.08,14,709.0,0
69.27,10,797.0,0
46.37,20,696.0,0
48.29,14,800.0,0
95.74,8,727.0,0
43.87,12,734.0,0
75.3,13,806.0,0
19.84,11,700.0,0
67.74,13,668.0,0
77.68,14,695.0,0
51.32,15,745.0,0
44.64,12,634.0,0
62.81,7,755.0,0
33.46,12,690.0,0
66.78,14,783.0,0
16.18,13,588.0,0
31.84,13,677.0,0
57.36,10,627.0,0
60.43,16,675.0,0
39.18,12,734.0,0
35.33,4,710.0,0
35.78,8,706.0,0
60.08,19,711.0,0
35.51,9,731.0,0
45.15,10,665.0,0
67.55,11,759.0,0
51.14,15,756.0,0
71.33,11,741.0,0
47.01,12,751.0,0
46.19,9,736.0,0
50.87,12,832.0,0
67.62,16,715.0,0
33.89,19,703.0,0
47.12,13,679.0,0
37.43,11,663.0,0
23.02,7,652.0,0
30.99,16,671.0,0
78.11,9,716.0,0
53.33,9,738.0,0
34.16,13,723.0,0
46.17,17,678.0,0
52.2,13,770.0,0
189.78,13,761.0,1
50.79,13,711.0,0
35.95,11,684.0,0
84.36,12,750.0,0
28.03,11,730.0,0
36.74,9,640.0,0
99.73,8,716.0,0
47.4,10,734.0,0
19.85,12,671.0,0
42.69,20,730.0,0
68.92,14,640.0,0
64.87,9,793.0,0
45.89,14,789.0,0
35.3,12,706.0,0
41.95,11,740.0,0
33.68,7,587.0,0
67.79,13,656.0,0
66.84,16,704.0,0
46.59,13,661.0,0
36.49,16,759.0,0
47.11,18,830.0,0
47.32,16,655.0,0
23.57,8,674.0,0
45.51,11,733.0,0
65.76,8,809.0,0
22.35,11,653.0,0
35.64,17,734.0,0
60.61,7,820.0,0
42.78,18,629.0,0
58.94,11,650.0,0
55.1,20,697.0,0
44.04,14,691.0,0
43.36,15,765.0,0
35.1,8,733.0,0
24.94,9,622.0,0
58.76,10,748.0,0
48.32,16,688.0,0
35.24,15,790.0,0
31.02,12,685.0,0
68.18,21,685.0,1
52.89,18,750.0,0
36.14,11,762.0,0
119.85,10,745.0,0
32.72,9,627.0,0
58.45,12,750.0,0
45.77,13,663.0,0
43.46,11,733.0,0
25.13,9,642.0,0
109.27,8,745.0,0
61.33,15,676.0,0
52.9,16,649.0,0
63.82,15,759.0,0
35.79,11,733.0,0
70.47,15,686.0,0
47.52,18,800.0,0
48.44,13,696.0,0
28.27,9,722.0,0
27.33,11,735.0,0
47.62,9,686.0,0
39.82,6,746.0,0
21.05,12,691.0,0
53.78,11,697.0,0
116.76,12,795.0,1
70.31,12,663.0,0
23.19,10,587.0,0
60.53,16,809.0,0
84.57,13,850.0,0
67.8,15,698.0,0
25.88,14,613.0,0
45.1,11,703.0,0
50.04,12,704.0,0
55.89,12,710.0,0
35.79,9,659.0,0
49.95,9,752.0,0
82.92,9,749.0,0
61.24,13,638.0,0
61.64,15,758.0,0
106.76,11,833.0,0
42.68,7,729.0,0
83.69,17,701.0,1
56.05,10,712.0,0
175.06,10,754.0,1
17.62,12,625.0,0
38.69,12,729.0,0
51.47,13,699.0,0
69.51,16,822.0,0
97.08,15,710.0,1
51.35,15,812.0,0
56.39,8,659.0,0
77.1,14,752.0,0
63.39,14,738.0,0
27.08,12,672.0,0
80.92,18,730.0,1
84.14,10,787.0,0
55.76,19,702.0,0
36.66,10,627.0,0
50.87,12,719.0,0
38.38,7,670.0,0
56.51,7,701.0,0
46.94,10,716.0,0
21.41,14,626.0,0
20.0,11,631.0,0
40.57,6,747.0,0
46.63,13,691.0,0
25.5,10,579.0,0
57.3,12,763.0,0
58.6,13,735.0,0
32.21,9,681.0,0
70.41,14,648.0,0
49.84,8,766.0,0
43.5,3,739.0,0
75.47,13,850.0,0
29.98,13,743.0,0
39.34,18,741.0,0
66.03,14,711.0,0
33.98,15,765.0,0
76.17,9,754.0,0
93.07,15,789.0,1
37.19,11,691.0,0
48.64,13,696.0,0
67.1,9,694.0,0
46.69,11,763.0,0
76.94,9,802.0,0
33.77,13,695.0,0
36.52,11,697.0,0
38.63,11,737.0,0
51.17,10,706.0,0
79.98,19,772.0,1
25.61,11,596.0,0
24.33,11,675.0,0
26.53,12,677.0,0
35.07,7,592.0,0
86.47,7,667.0,0
46.64,11,670.0,0
39.59,9,709.0,0
71.35,9,781.0,0
41.34,11,707.0,0
32.87,6,663.0,0
33.81,10,717.0,0
88.13,9,778.0,0
14.12,19,666.0,0
55.39,7,670.0,0
44.81,9,751.0,0
39.1,11,708.0,0
94.22,18,756.0,1
36.93,13,719.0,0
43.24,8,759.0,0
36.47,14,663.0,0
54.49,8,719.0,0
